set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm}
0.000,5,0.000,0.000,399,0.000,0.000,0.000, 12.16,  Inf,0.000,-63,-28, 11
,,,,,,0.000,0.000, 11.33,  Inf,0.000,-45,-34, 11
,,,,,,0.000,0.000, 10.12, 7.84,0.000,-66,-10, -1
,,0.000,0.000,214,0.000,0.000,0.000, 12.10,  Inf,0.000, 57,-22, 11
,,,,,,0.000,0.000, 11.29,  Inf,0.000, 66,-13, -4
,,,,,,0.000,0.003,  7.07, 6.09,0.000, 60,-37,  5
,,0.001,0.020,5,0.012,0.006,0.200,  5.81, 5.21,0.000, 69,-25, -4
,,0.015,0.221,1,0.221,0.039,0.851,  5.35, 4.86,0.000, 51,  5, -7
,,0.015,0.221,1,0.221,0.050,0.998,  5.28, 4.81,0.000,-63,-58, -4
